,bongaberekuTZA,buhangaRWA,chalaTZA,cheberachurchuraETH,chepkitaleKEN,cheranganiKEN,gomberoTZA,ikonaTZA,ilundaTZA,imatongSSD,kadamUGA,kahuzibiegaCOD,kahuzibiegaDRC,kakamegaKEN,katimokKEN,kibaoniTZA,kibebeTZA,kidepoUGA,kijunguTZA,kilimanjaroTZA,kitumbeineTZA,loitaKEN,lugaloTZA,maralalKEN,masheteTZA,mathenikobokoraUGA,mauKEN,meriongimaTZA,mizanteferiETH,monduliTZA,morotoUGA,morungoleUGA,mtkenyaKEN,ngarenanyukiTZA,ngorongoroTZA,pianupeUGA,ruahaTZA,taanUGA,tarangireTZA,tumatiTZA,TZA
KEN2018010606_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN2018010625_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN2018010626_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN2018010631_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN2018010689_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN2018010784_loitaKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN2018080087_mauKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN2018080120_mauKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN2018080165_mauKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN2018080170_mauKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
